time,CCSI,공공/기업/단체_pred_MA3,공연/전시_pred_MA3,미디어/통신_pred_MA3,생활서비스_pred_MA3,소매/유통_pred_MA3,여가/오락_pred_MA3,음식_pred_MA3,의료/건강_pred_MA3,학문/교육_pred_MA3
2022-01,104.9,98.48964260733354,80.96308139359928,103.91120122823007,94.56086069303763,103.13930347523677,78.17990312358857,80.46244617085172,93.52015428909313,97.23291809615884
2022-02,103.5,89.68704140162326,72.65965606587592,92.0758192275546,87.61024189436233,94.22121918345121,72.97739110405969,72.14382541018108,88.15657543801707,89.45833738434207
2022-03,103.7,84.62553919238441,67.87821021661807,85.8630827231272,86.68413615353332,93.04505221381572,72.84694328418274,71.41372435555279,85.5460507666126,84.27296190429203
2022-04,104.3,91.06099328043094,73.15578564885408,85.36267328479616,92.09297322767615,102.12425230440475,87.89930377002497,82.22324284077523,88.70948546505194,84.74478822503218
2022-05,103.1,96.83079925535515,78.61682205927332,89.97057555544633,95.68572435168178,108.02065140103885,99.75544285065125,92.27257973203261,89.24583404022466,85.1171702337594
2022-06,96.8,102.29714209545836,87.18356547505371,94.51966464789892,96.19887866734578,109.45589989917093,108.47708245184882,98.80839763018274,90.55319121067517,88.96620363481492
2022-07,86.2,100.81202564693159,92.62514512730466,95.38261581366712,94.10475068942806,103.99897542215244,108.73472715310494,97.15007727811428,92.54089724499829,93.48963446871717
2022-08,89.0,100.81609573910787,94.27193492227592,92.79523607639993,92.39408572767505,100.98354135783245,107.72870894042306,95.83751076521706,93.14834030107988,96.14573081312113
2022-09,91.6,101.31519899750342,94.710456899709,94.14801289735617,94.60525648148526,100.03402221873007,108.09425210319364,97.47328142640373,93.3628589262219,95.8763198374557
2022-10,89.0,102.89086330591782,93.73114270097435,97.5432379305916,97.88320799771189,99.87451084153115,109.7303207714633,102.03880769459468,93.62447906860355,96.01309375627504
2022-11,86.6,99.253708764834,91.08027368753335,99.74899246502017,99.37019741629587,98.45184472228586,105.74921619056579,101.77776177837902,94.34514545882276,96.46579366134576
2022-12,90.1,102.5841113947684,99.62954289922368,109.10760755354013,104.59061476885537,104.69942362751753,106.0120025426907,105.9636517590521,103.18818435498457,109.707178719751
